yyyy-mm-dd;yyyy-mm-dd hh24:00:00;yyyy-mm-dd hh24:mi:00;yyyy-mm-dd hh24:mis:ss;thread type;thread name;thread state;last call;last custom call
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;AsynchThread;AsynchThread-5;WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;AMQP Connection 10.43.172.112:5672;AMQP Connection 10.43.172.112:5672;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at com.rabbitmq.client.impl.Frame.readFrom(Frame.java:91)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;pool-2-thread;pool-2-thread-2;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;Attach Listener;Attach Listener;RUNNABLE;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
